timestamp,WashingMachine_kW,Dishwasher_kW,Dryer_kW,WaterHeater_kW,Total_kW
2025-01-01 00:00:00,0.015,0.0,0.012,0.099,0.126
2025-01-01 00:15:00,0.0,0.006,0.0,0.088,0.094
2025-01-01 00:30:00,0.007,0.009,0.01,0.113,0.139
2025-01-01 00:45:00,0.021,0.065,0.071,0.065,0.222
2025-01-01 01:00:00,0.074,0.035,0.02,0.045,0.174
2025-01-01 01:15:00,0.003,0.0,0.034,0.064,0.101
2025-01-01 01:30:00,0.0,0.0,0.008,0.082,0.09
2025-01-01 01:45:00,0.0,0.002,0.0,0.055,0.057
2025-01-01 02:00:00,0.0,0.079,0.0,0.087,0.166
2025-01-01 02:15:00,0.0,0.019,0.0,0.096,0.115
2025-01-01 02:30:00,0.0,0.0,0.0,0.099,0.099
2025-01-01 02:45:00,0.0,0.0,0.0,0.105,0.105
2025-01-01 03:00:00,0.0,0.002,0.011,0.094,0.107
2025-01-01 03:15:00,0.0,0.006,0.0,0.072,0.078
2025-01-01 03:30:00,0.0,0.039,0.0,0.104,0.143
2025-01-01 03:45:00,0.0,0.0,0.004,0.048,0.052
2025-01-01 04:00:00,0.0,0.0,0.035,0.096,0.131
2025-01-01 04:15:00,0.018,0.0,0.0,0.051,0.069
2025-01-01 04:30:00,0.0,0.019,0.0,0.049,0.068
2025-01-01 04:45:00,0.0,0.025,0.0,0.104,0.129
2025-01-01 05:00:00,0.0,0.0,0.027,0.119,0.146
2025-01-01 05:15:00,0.0,0.0,0.007,0.053,0.06
2025-01-01 05:30:00,0.0,0.0,0.0,0.055,0.055
2025-01-01 05:45:00,0.009,0.0,0.0,0.119,0.128
2025-01-01 06:00:00,0.033,0.0,0.018,0.084,0.135
2025-01-01 06:15:00,0.018,0.0,0.003,0.057,0.078
2025-01-01 06:30:00,0.0,0.037,0.0,0.09,0.127
2025-01-01 06:45:00,0.021,0.025,0.027,2.227,2.3
2025-01-01 07:00:00,0.003,0.0,0.0,2.232,2.235
2025-01-01 07:15:00,0.014,0.025,0.0,2.23,2.269
2025-01-01 07:30:00,0.0,0.0,0.0,2.163,2.163
2025-01-01 07:45:00,0.04,0.0,0.0,0.054,0.094
2025-01-01 08:00:00,0.032,0.018,0.0,0.076,0.126
2025-01-01 08:15:00,0.0,0.0,0.007,0.048,0.055
2025-01-01 08:30:00,0.056,0.0,0.0,1.573,1.629
2025-01-01 08:45:00,0.0,0.0,0.025,0.076,0.101
2025-01-01 09:00:00,0.036,0.007,0.022,0.078,0.143
2025-01-01 09:15:00,0.0,0.008,0.0,0.06,0.068
2025-01-01 09:30:00,0.0,0.0,0.013,0.077,0.09
2025-01-01 09:45:00,0.0,0.0,0.0,0.115,0.115
2025-01-01 10:00:00,0.0,0.0,0.001,0.054,0.055
2025-01-01 10:15:00,0.063,0.0,0.016,0.144,0.223
2025-01-01 10:30:00,0.0,0.0,0.004,0.055,0.059
2025-01-01 10:45:00,0.0,0.0,0.0,0.127,0.127
2025-01-01 11:00:00,0.009,0.021,0.009,0.098,0.137
2025-01-01 11:15:00,0.0,0.0,0.012,0.082,0.094
2025-01-01 11:30:00,0.01,0.0,0.04,0.076,0.126
2025-01-01 11:45:00,0.025,0.011,0.0,0.06,0.096
2025-01-01 12:00:00,0.012,0.0,0.007,0.112,0.131
2025-01-01 12:15:00,0.0,0.052,0.0,0.099,0.151
2025-01-01 12:30:00,0.0,0.051,0.0,0.084,0.135
2025-01-01 12:45:00,0.014,0.003,0.0,0.115,0.132
2025-01-01 13:00:00,0.051,0.0,0.016,0.092,0.159
2025-01-01 13:15:00,0.0,0.003,0.017,0.087,0.107
2025-01-01 13:30:00,0.0,0.0,0.0,0.068,0.068
2025-01-01 13:45:00,0.0,0.0,0.0,0.118,0.118
2025-01-01 14:00:00,0.012,0.0,0.024,0.057,0.093
2025-01-01 14:15:00,0.0,0.0,0.0,0.118,0.118
2025-01-01 14:30:00,0.01,0.001,0.0,0.127,0.138
2025-01-01 14:45:00,0.014,0.048,0.052,0.067,0.181
2025-01-01 15:00:00,0.003,0.0,0.027,0.091,0.121
2025-01-01 15:15:00,0.0,0.0,0.015,0.107,0.122
2025-01-01 15:30:00,0.0,0.014,0.0,0.064,0.078
2025-01-01 15:45:00,0.0,0.023,0.0,0.035,0.058
2025-01-01 16:00:00,0.041,0.0,0.01,1.737,1.788
